Year,unitid,ISPrice,OOSPrice
1990,100654,1248,2236
1991,100654,1298,3050
1992,100654,1600,3150
1993,100654,1600,3150
1994,100654,1887,3587
1995,100654,2022,3808
1996,100654,2312,4152
1997,100654,2420,4352
1998,100654,2332,4664
1999,100654,2332,4264
2000,100654,2800,5200
2001,100654,2800,5200
2002,100654,3040,5560
2003,100654,3352,6184
2004,100654,3640,6760
2005,100654,3650,6770
2006,100654,3650,6770
2007,100654,4072,7504
2008,100654,4072,7504
2009,100654,4692,8640
2010,100654,5800,10672
2011,100654,6828,12156
2012,100654,7182,12774
2013,100654,7182,12774
2014,100654,9096,16596
2015,100654,9366,17136
2016,100654,9366,17496
2017,100654,9857,18236
2018,100654,9744,18354
2019,100654,10024,18634
2020,100654,10024,18634
2021,100654,10024,18634
2022,100654,10024,18634
2023,100654,10024,18634
2024,100654,10024,18634
1990,100690,3440,3440
1991,100690,3813,3813
1992,100690,4065,4065
1993,100690,4095,4095
1994,100690,4845,4845
1995,100690,5310,5310
1996,100690,5382,5382
1997,100690,5562,5562
1998,100690,5730,5730
1999,100690,6470,6470
2000,100690,7950,7950
2001,100690,8480,8480
2002,100690,8960,8960
2003,100690,9440,9440
2005,100690,10400,10400
2009,100690,8000,8000
2010,100690,8360,8360
2011,100690,8720,8720
2012,100690,8180,8180
2013,100690,7720,7720
2014,100690,6900,6900
2015,100690,10860,10860
2016,100690,10180,10180
2017,100690,9900,9900
2018,100690,9900,9900
2019,100690,9950,9950
2020,100690,9950,9950
2021,100690,9950,9950
2022,100690,9950,9950
2023,100690,10470,10470
2024,100690,10470,10470
1990,100706,1996,3992
1991,100706,2130,4260
1992,100706,2328,4656
1993,100706,2418,4836
1994,100706,2480,4960
1995,100706,2620,5240
1996,100706,2698,5656
1997,100706,2832,5938
1998,100706,2942,6166
1999,100706,3112,6516
2000,100706,3284,6890
2001,100706,3536,7430
2002,100706,3764,7940
2003,100706,4126,8702
2004,100706,4516,9518
2005,100706,4688,9886
2006,100706,4848,10224
2007,100706,5216,11024
2008,100706,5952,13092
2009,100706,6510,15628
2010,100706,7492,17986
2016,100706,9842,20612
2017,100706,10280,21480
2018,100706,10714,22362
2019,100706,11122,23518
2020,100706,11338,23734
2021,100706,11488,23884
2022,100706,11878,24770
2023,100706,11878,24770
2024,100706,12132,26408
1990,100724,1268,2428
1991,100724,1268,2428
1992,100724,1608,3108
1993,100724,1638,3138
1994,100724,1608,3138
1995,100724,1752,3504
1996,100724,2090,3890
1997,100724,2090,3890
1998,100724,2090,3890
2007,100724,4508,8516
2008,100724,5460,10068
2009,100724,6468,12084
2010,100724,7164,13476
2011,100724,8082,14394
2012,100724,7932,14244
2013,100724,8720,15656
2014,100724,8720,15656
2015,100724,8720,15656
2016,100724,9220,16156
2017,100724,11068,19396
2018,100724,11068,19396
2019,100724,11068,19396
2020,100724,11068,19396
2021,100724,11068,19396
2022,100724,11068,19396
2023,100724,11248,19576
2024,100724,11248,19576
1990,100760,645,1095
1991,100760,1083,1803
1992,100760,1668,2658
1993,100760,1161,1854
1994,100760,1512,2744
1995,100760,1916,3516
1996,100760,1916,3516
1997,100760,1800,3948
1998,100760,1620,3120
1999,100760,1620,3120
2000,100760,1800,3360
2001,100760,2040,3840
2002,100760,2040,3840
2003,100760,2280,4320
2004,100760,2700,4830
2005,100760,2700,4830
2006,100760,2700,4830
2007,100760,2700,4830
2008,100760,2700,4830
2009,100760,2700,4830
2010,100760,3270,5970
2014,100760,3491,6576
2015,100760,4320,7770
2016,100760,4380,7890
2017,100760,4440,8010
2018,100760,4740,8610
2019,100760,4870,8800
2020,100760,4930,8860
2021,100760,4920,8610
2022,100760,4980,8730
2023,100760,5040,8850
2024,100760,5110,8980
1990,100812,1305,2490
1991,100812,1420,2725
1992,100812,1680,3210
1993,100812,1485,2925
1994,100812,1530,3060
1995,100812,1884,3768
1996,100812,1935,3510
1997,100812,1905,3660
1998,100812,2484,4692
1999,100812,2400,4736
2000,100812,2370,4620
2001,100812,2730,5280
2002,100812,3090,5940
2003,100812,3570,6720
2004,100812,3870,7170
2005,100812,3870,7170
2006,100812,3870,7170
2007,100812,4050,7350
2008,100812,4050,7350
2009,100812,4350,7950
2010,100812,4860,8970
2011,100812,5340,9930
2012,100812,5340,9930
2013,100812,5760,10770
2014,100812,6120,11490
2015,100812,6270,11790
2016,100812,6480,12210
2017,100812,6690,12630
2018,100812,6810,12870
2019,100812,7710,13890
2020,100812,7710,13890
2021,100812,9060,15810
2022,100812,9540,16770
2023,100812,9840,17370
2024,100812,10020,17700
1990,100830,1317,3951
1991,100830,1428,4284
1992,100830,1599,4797
1993,100830,1800,5400
1994,100830,1905,5715
1995,100830,2025,6075
1996,100830,2130,6390
1997,100830,2289,6867
1998,100830,2442,7326
1999,100830,2960,8860
2000,100830,3030,9030
2001,100830,3440,9860
2002,100830,3620,10400
2003,100830,4130,11930
2004,100830,4460,12920
2005,100830,4870,13430
2006,100830,5020,14020
2007,100830,5010,14490
2008,100830,5580,16200
2009,100830,5970,17250
2010,100830,6620,18980
2011,100830,7580,21440
2012,100830,8150,23150
2013,100830,8750,24950
2014,100830,9080,19640
2015,100830,9350,20210
2016,100830,9640,20710
2017,100830,8020,17140
2018,100830,8404,17812
2019,100830,8620,18292
2020,100830,8860,18820
2021,100830,8860,18820
2022,100830,9100,19348
2023,100830,9436,20092
2024,100830,9700,20668
1990,100858,1476,4428
1991,100858,1596,4788
1992,100858,1755,5265
1993,100858,1950,5850
1994,100858,2100,6300
1995,100858,2250,6750
1996,100858,2355,7065
1997,100858,2565,7695
1998,100858,2760,8280
2001,100858,3380,9900
2002,100858,3784,11084
2003,100858,4426,12886
2004,100858,4828,14048
2005,100858,5278,14878
2006,100858,5496,15496
2007,100858,5834,16334
2008,100858,6500,18260
2009,100858,6972,19452
2010,100858,7900,21916
2011,100858,8698,23290
2012,100858,9446,25190
2013,100858,9852,26364
2014,100858,10200,27384
2015,100858,10424,28040
2016,100858,10696,28840
2017,100858,10968,29640
2018,100858,11276,30524
2019,100858,11492,31124
2020,100858,11796,31956
2021,100858,11826,31986
2022,100858,12176,32960
2023,100858,12536,33944
2024,100858,12890,34922
1990,101028,645,1095
1991,101028,1035,1811
1992,101028,1116,1953
1993,101028,1116,1953
1994,101028,1116,1953
1995,101028,1305,2385
1996,101028,1350,2475
1997,101028,1350,2475
1998,101028,1620,3180
1999,101028,1980,3852
2000,101028,1800,3360
2001,101028,2040,3840
2002,101028,2100,3900
2003,101028,2520,4800
2004,101028,2700,4830
2005,101028,2700,4830
2006,101028,2700,4830
2007,101028,2700,4830
2008,101028,2700,4830
2009,101028,2940,5070
2010,101028,3510,6210
2011,101028,4140,7350
2012,101028,4200,7470
2013,101028,4260,7590
2014,101028,4320,7710
2015,101028,4380,7830
2016,101028,4254,7764
2017,101028,4314,7884
2018,101028,4738,8608
2019,101028,4860,8790
2020,101028,4920,8910
2021,101028,3936,7128
2022,101028,4980,8730
2023,101028,5040,8850
2024,101028,5100,8970
1990,101116,3925,3925
1991,101116,4525,4525
1992,101116,4525,4525
1993,101116,4525,4525
1994,101116,4875,4875
1995,101116,5085,5085
1996,101116,5685,5685
1997,101116,6285,6285
1998,101116,6885,6885
2000,101116,7810,7810
2002,101116,9610,9610
2003,101116,10210,10210
2011,101116,15910,15910
2012,101116,16360,16360
2013,101116,16360,16360
2014,101116,16360,16360
2015,101116,16761,16761
2016,101116,17306,17306
2017,101116,17014,17014
2018,101116,17014,17014
2019,101116,17014,17014
2020,101116,18000,18000
2021,101116,18000,18000
2022,101116,16560,16560
2023,101116,16452,16452
2024,101116,17895,17895
1990,101143,600,1050
1991,101143,837,1377
1992,101143,837,1377
1993,101143,1215,1958
1994,101143,981,1575
1995,101143,1350,2475
1996,101143,1350,2475
1997,101143,1350,2475
1998,101143,1404,2704
1999,101143,1296,2496
2000,101143,1740,3300
2001,101143,2040,3840
2002,101143,2040,3840
2003,101143,2520,4560
2004,101143,2730,4890
2005,101143,2700,4830
2006,101143,2700,4830
2007,101143,2700,4830
2008,101143,2700,4830
2009,101143,2700,4830
2010,101143,3270,5610
2011,101143,3668,6664
2012,101143,3724,6776
2013,101143,3780,6888
2014,101143,3976,7140
2015,101143,4320,7770
2016,101143,4380,7890
2017,101143,4440,8010
2018,101143,4740,8610
2019,101143,4800,8730
2020,101143,4960,8950
2021,101143,4860,8550
2022,101143,4920,8670
2023,101143,5040,8850
2024,101143,5100,8970
1990,101161,600,1200
1991,101161,900,1575
1992,101161,1125,1867
1993,101161,1125,1867
1994,101161,1125,1867
1995,101161,1161,2061
1996,101161,1161,2061
1997,101161,1161,2061
1998,101161,1680,3180
1999,101161,1512,2760
2000,101161,1890,3450
2001,101161,2370,4170
2002,101161,2370,4170
2003,101161,2610,4650
2004,101161,2790,4920
2005,101161,2790,4920
2006,101161,2790,4920
2007,101161,2790,4920
2008,101161,2790,4920
2009,101161,2790,4920
2010,101161,3360,3360
2011,101161,4080,7290
2012,101161,4182,6750
2013,101161,4200,7530
2014,101161,4260,7650
2015,101161,4320,7770
2016,101161,4380,7890
2017,101161,4380,7890
2018,101161,4740,8610
2019,101161,4800,8730
2020,101161,4860,8850
2021,101161,4860,8850
2022,101161,4920,8670
2023,101161,4980,8790
2024,101161,5040,8910
1990,101189,4335,4335
1991,101189,4980,4980
1992,101189,5100,5100
1993,101189,5400,5400
1994,101189,5550,5550
1995,101189,6030,6030
1996,101189,6600,6600
1997,101189,6980,6980
1998,101189,5930,5930
2009,101189,13690,13690
2010,101189,14820,14820
2011,101189,15880,15880
2012,101189,17380,17380
2013,101189,18230,18230
2014,101189,18750,18750
2015,101189,19280,19280
2016,101189,20130,20130
2017,101189,20970,20970
2018,101189,21690,21690
2019,101189,22310,22310
2020,101189,22990,22990
2021,101189,23490,23490
2022,101189,23920,23920
2023,101189,23920,23920
2024,101189,23920,23920
1990,101240,645,1095
1991,101240,1035,1677
1992,101240,1125,1869
1993,101240,1293,2085
1994,101240,1293,2085
1995,101240,1437,2637
1996,101240,1437,2637
1997,101240,1437,2637
1998,101240,1664,3200
1999,101240,1664,3200
2000,101240,1680,3240
2001,101240,1680,3240
2002,101240,2280,4080
2003,101240,2520,4560
2004,101240,2700,4830
2005,101240,2700,4830
2006,101240,2700,4830
2007,101240,2700,4830
2008,101240,2700,4830
2009,101240,2700,4830
2010,101240,3270,5970
2011,101240,3780,6990
2012,101240,3840,7110
2013,101240,3900,7230
2014,101240,3168,5880
2015,101240,4020,7470
2016,101240,4080,7590
2017,101240,4500,8070
2018,101240,4800,8820
2019,101240,4860,8790
2020,101240,5176,9432
2021,101240,5248,9184
2022,101240,5312,9312
2023,101240,4032,7080
2024,101240,4272,7368
1990,101286,860,1460
1991,101286,1116,1836
1992,101286,1212,2004
1993,101286,981,1575
1994,101286,1215,1957
1995,101286,1350,2475
1996,101286,1350,2475
1997,101286,1089,1989
1998,101286,1620,3120
1999,101286,1620,3120
2000,101286,1620,3120
2001,101286,2040,3840
2002,101286,2040,3840
2003,101286,2340,4260
2004,101286,2700,4830
2005,101286,2730,4890
2006,101286,2700,4830
2007,101286,2700,4830
2008,101286,2700,4830
2009,101286,2700,4830
2010,101286,3270,5970
2011,101286,3330,6090
2012,101286,3840,7110
2013,101286,3900,7230
2014,101286,3960,7350
2015,101286,4260,7710
2016,101286,4320,7830
2017,101286,4380,7950
2018,101286,4680,8550
2019,101286,4740,8670
2020,101286,4800,8790
2021,101286,4800,8490
2022,101286,4860,8610
2023,101286,4920,8730
2024,101286,4980,8850
1990,101295,613,1063
1991,101295,999,1674
1992,101295,999,1674
1993,101295,999,1674
1994,101295,999,1674
1995,101295,1179,1179
1996,101295,1179,2259
1997,101295,1179,2259
1998,101295,1344,2624
1999,101295,1008,1968
2000,101295,1260,2460
2001,101295,1620,3180
2002,101295,1860,3660
2003,101295,2520,4560
2004,101295,2700,4830
2005,101295,2700,4830
2006,101295,2700,4830
2007,101295,2700,4830
2008,101295,2700,4830
2009,101295,2700,4830
2010,101295,3570,6270
2011,101295,4080,7290
2012,101295,4140,7410
2013,101295,4200,7530
2014,101295,4260,7650
2015,101295,4320,7770
2016,101295,4380,7890
2017,101295,3726,6582
2018,101295,4740,8610
2019,101295,4800,8730
2020,101295,4860,8850
2021,101295,4860,8550
2022,101295,4920,8670
2023,101295,4980,8790
2024,101295,5220,9090
1990,101301,860,1505
1991,101301,1200,2100
1992,101301,1200,2100
1993,101301,1200,2100
1994,101301,1035,1643
1995,101301,1260,2295
1996,101301,1260,2295
1997,101301,1350,2475
1998,101301,1620,3120
1999,101301,1296,2496
2000,101301,1800,3360
2001,101301,2040,3840
2002,101301,2040,3840
2003,101301,2280,4320
2004,101301,2700,4830
2005,101301,2700,4830
2006,101301,2700,4830
2007,101301,2700,4830
2008,101301,2700,4830
2009,101301,2700,4830
2010,101301,3270,5970
2011,101301,3780,6990
2012,101301,3840,7110
2013,101301,3900,7230
2014,101301,3960,7350
2015,101301,4020,7470
2016,101301,4080,7590
2017,101301,4140,7710
2018,101301,4440,8310
2019,101301,4500,8430
2020,101301,4560,8550
2021,101301,4560,8250
2022,101301,4620,8370
2023,101301,4680,8490
2024,101301,4740,8610
1990,101365,1425,1425
1991,101365,4200,4200
1993,101365,4680,4680
1994,101365,4890,4890
1995,101365,5460,5460
1996,101365,5625,5625
1997,101365,5400,5400
1998,101365,5720,5720
1999,101365,6225,6225
2000,101365,6225,6225
2010,101365,10933,10933
2014,101365,12790,12790
2015,101365,13090,13090
2016,101365,13390,13390
2017,101365,13850,13850
2018,101365,14000,14000
2019,101365,14200,14200
2020,101365,14200,14200
2021,101365,14200,14200
2022,101365,12750,12750
2023,101365,13420,13420
2024,101365,13450,13450
1990,101435,5800,5800
1991,101435,6400,6400
1992,101435,7140,7140
1993,101435,7540,7540
1994,101435,8180,8180
1995,101435,8645,8645
1996,101435,10140,10140
1997,101435,10600,10600
1998,101435,11010,11010
1999,101435,11410,11410
2000,101435,11910,11910
2001,101435,12870,12870
2005,101435,15950,15950
2006,101435,16690,16690
2007,101435,18270,18270
2008,101435,20020,20020
2009,101435,20990,20990
2010,101435,19400,19400
2011,101435,17552,17552
2012,101435,20973,20973
2013,101435,21741,21741
2014,101435,21249,21249
2015,101435,23021,23021
2016,101435,24427,24427
2017,101435,24997,24997
2018,101435,26020,26020
2019,101435,26493,26493
2020,101435,27035,27035
2021,101435,27492,27492
2022,101435,28299,28299
2023,101435,28650,28650
2024,101435,29070,29070
1990,101453,2100,2100
1991,101453,2100,2100
1992,101453,2352,2352
1993,101453,2654,2654
1994,101453,3220,3220
1995,101453,3870,3870
1996,101453,4050,4050
1997,101453,4008,4008
1998,101453,4416,4416
1999,101453,4776,4776
2000,101453,4992,4992
2001,101453,5232,5232
2002,101453,5496,5496
2003,101453,6456,6456
2004,101453,6840,6840
2005,101453,7152,7152
2006,101453,7488,7488
2007,101453,7848,7848
2008,101453,8208,8208
2009,101453,9189,9189
2010,101453,9360,9360
2011,101453,9792,9792
2012,101453,9792,9792
2013,101453,9792,9792
2014,101453,9792,9792
2015,101453,9792,9792
2016,101453,9792,9792
2017,101453,11232,11232
2018,101453,11232,11232
2019,101453,11532,11532
2020,101453,11532,11532
2021,101453,11632,11632
2022,101453,11632,11632
2023,101453,11982,11982
2024,101453,11982,11982
1990,101462,868,1468
1991,101462,1056,1776
1992,101462,1056,1776
1993,101462,792,1332
1994,101462,1056,1776
1995,101462,1560,3000
1996,101462,1560,3000
1997,101462,1560,3000
1998,101462,1560,3000
1999,101462,1248,2400
2000,101462,1560,3000
2001,101462,1920,3720
2002,101462,2280,4080
2003,101462,2520,4560
2004,101462,2700,4830
2005,101462,2700,4830
2006,101462,2700,4830
2007,101462,2700,4830
2008,101462,2700,4830
2009,101462,2700,4830
2010,101462,3270,5970
2011,101462,3144,5712
2012,101462,3192,5808
2013,101462,3336,6000
2014,101462,3384,6096
2015,101462,4290,7740
2016,101462,4350,7860
2017,101462,4410,7980
2018,101462,4710,8580
2019,101462,4770,8700
2020,101462,4830,8820
2021,101462,4830,8520
2022,101462,4890,8640
2023,101462,5130,8940
2024,101462,5190,9060
1990,101471,810,1410
1991,101471,1200,1410
1992,101471,1200,1410
1993,101471,1248,1248
1994,101471,1768,1768
1995,101471,1972,1972
1996,101471,1392,1392
1997,101471,1392,1392
1998,101471,1440,1440
2004,101471,2613,2613
2005,101471,2556,2556
2006,101471,2700,2700
2007,101471,2160,2160
2008,101471,2136,2136
2009,101471,2136,2136
2010,101471,1308,1308
2011,101471,4536,4536
2012,101471,4608,4608
2013,101471,4608,4608
2014,101471,4752,4752
2015,101471,4824,4824
2016,101471,4896,4896
2017,101471,4968,4968
2018,101471,5328,5328
2019,101471,5400,5400
2020,101471,5472,5472
2021,101471,5472,5472
2022,101471,4680,4680
2023,101471,6084,6084
2024,101471,6084,6084
1990,101480,1320,1980
1991,101480,1420,2130
1992,101480,1550,2326
1993,101480,1680,2520
1994,101480,1790,2686
1995,101480,1840,2760
1996,101480,1940,2910
1997,101480,2040,4080
1998,101480,2140,4280
2013,101480,8790,17280
2014,101480,8790,17280
2015,101480,9300,18300
2016,101480,9300,18300
2017,101480,10020,19290
2018,101480,10704,20424
2019,101480,11120,20840
2020,101480,11120,20840
2021,101480,11120,20840
2022,101480,11952,21912
2023,101480,12426,22716
2024,101480,12894,23334
1990,101505,685,1135
1991,101505,1215,1935
1992,101505,1215,1935
1993,101505,1215,1935
1994,101505,1215,1935
1995,101505,1350,2475
1996,101505,1350,2475
1997,101505,1350,2475
